Club Name,Website
Arsenal,www.arsenal.com
Crystal Palace,www.cpfc.co.uk
Burnley,www.burnleyfootballclub.com
Everton,www.evertonfc.com
Brentford,www.brentfordfc.com
Brighton,www.brightonandhovealbion.com
Leeds,www.leedsunited.com/
Liverpool,www.liverpoolfc.com
Leicester,www.lcfc.com
Norwich,www.canaries.co.uk
Man Utd,www.manutd.com
Newcastle,www.nufc.co.uk
Man City,www.mancity.com
Southampton,www.southamptonfc.com
Spurs,www.tottenhamhotspur.com
Watford,www.watfordfc.com
West Ham,www.whufc.com
Wolves,https://www.wolves.co.uk
Chelsea,www.chelseafc.com
Aston Villa,www.avfc.co.uk
