Name,Address,Capacity,Pitch Size,Building Date,Attendance,Club
Emirates Stadium,Highbury House; 75 Drayton Park; London; N5 1BU,60260, 105m x 68m,2006, 60161 v Manchester United (3 November 2007),Arsenal
Turf Moor Stadium Map, Turf Moor;Harry Potts Way;Burnley;Lancashire;BB10 4BX,21944, 105m x 68m,1883, 21870 v Manchester United (24 April 2017),Burnley
Stamford Bridge Stadium Map, Stamford Bridge;Fulham Road;London;SW6 1HS,40853, 103m x 67.5m,1877, 42332 v Newcastle United (4 December 2004),Chelsea
Amex Stadium,American Express Community Stadium; Village Way; Brighton; BN1 9BL,30666,105m x 68m,2011,30565 v Everton (15 Oct 2017),Brighton
Brentford Community Stadium, Brentford Community Stadium; Lionel Road South; Brentford; TW8 0RU,17250, 105m x 68m,2020,,Brentford
Goodison Park Stadium Map, Goodison Park;Goodison Road;Liverpool;L4 4EL,39221, 100.48m x 68m,1892,40552 v Liverpool (11 December 2004),Everton
Selhurst Park Stadium Map, Selhurst Park Stadium;Holmesdale Road;London;SE25 6PU,25486, 101m x 68m,1924, 30115 v Manchester United (21 April 1993),Crystal Palace
Villa Park Stadium Map, Villa Park;Trinity Road; Birmingham;B66HE,42682, 105m x 68m,1897,,Aston Villa
Elland Road,Elland Road; Leeds; LS11 0ES,37890,106m x 69m,1897,,Leeds
Stadium Map, Anfield;Anfield Road;Liverpool;L4 0TH,53394, 101m x 68m,1884,53292 v AFC Bournemouth (5 April 2017),Liverpool
King Power Stadium Map, King Power Stadium;Filbert Way;Leicester;LE2 7FL,32273, 105m x 68m,2002, 32242 v Sunderland (8 August 2015),Leicester
Etihad Stadium Map, Etihad Stadium;Etihad Campus;Manchester;M11 3FF,55017, 105m x 68m,2002,54693 v Leicester City (6 February 2016),Man City
Old Trafford Stadium Map,Sir Matt Busby Way; Old Trafford; Manchester;M16 0RA,74879, 105m x 68m,1909, 76098 v Blackburn Rovers (31 March 2007),Man Utd
St Marys Stadium Map,St Marys Stadium;Britannia Road;Southampton;SO14 5FP,32384, 105m x 68m,2001, 32151 v Arsenal (29 December 2003),Southampton
Carrow Road Stadium Map,Carrow Road; Norwich; NR1 1JE,27359,104m x 68m,1935,,Norwich
St. James' Park,St. James' Park; Strawberry Place; Newcastle Upon Tyne; NE1 4ST,52305,105m x 68m,1892,52490 v West Ham United (11 November 2012),Newcastle
Vicarage Road Stadium Map,Vicarage Road Stadium; Watford; Hertfordshire; WD18 0ER,21000, 105m x 68m,1922, 21590 v Sunderland (27 November 1999),Watford
London Stadium Map, London Stadium;Queen Elizabeth Olympic Park;London;E20 2ST,60000,105m x 68m,2011, 59946 v Arsenal (12 January 2019),West Ham
Molineux Stadium,Molineux Stadium; Waterloo Rd; Wolverhampton; WV1 4QR,32050,105m x 68m,1889,31322 v Manchester City (25 August 2018),Wolves
Tottenham Hotspur Stadium,Lilywhite House; 782 High Road; Tottenham; London; N17 0BX,62062, 100m x 67m,2019,,Spurs
